Category,Subcategory,Place,Address
Lecture Theatres,1-15,LT1,"LT1, Block NS3, NS3-02-09"
Lecture Theatres,1-15,LT1A,"LT1A, LT1A-01-01"
Lecture Theatres,1-15,LT2A,"LT2A, LT2A-01-01"
Lecture Theatres,1-15,LT2,"TCT-LT(LT2), Block NS4, NS4-02-36"
Lecture Theatres,1-15,LT3,"LT3, Block NS4, NS4-02-32"
Lecture Theatres,1-15,LT4,"LT4, Block NS4, NS4-02-34"
Lecture Theatres,1-15,LT5,"LT5, Block NS2, NS2-02-07"
Lecture Theatres,1-15,LT6,"LT6, Block NS2, NS2-02-05"
Lecture Theatres,1-15,LT7,"LT7, Block NS1, NS1-02-03"
Lecture Theatres,1-15,LT8,"LT8, Block NS1, NS1-02-01"
Lecture Theatres,1-15,LT9,"LT9, Block NS4, NS4-04-39"
Lecture Theatres,1-15,LT10,"LT10, Block NS4, NS4-04-41"
Lecture Theatres,1-15,LT11,"LT11, Block NS2, NS2-04-15"
Lecture Theatres,1-15,LT12,"LT12, Block NS2, NS2-04-13"
Lecture Theatres,1-15,LT13,"LT13, Block NS2, NS2-04-11"
Lecture Theatres,1-15,LT14,"LT14, Block NS2, NS2-04-09"
Lecture Theatres,1-15,LT15,"LT15, Block NS1, NS1-04-07"
Lecture Theatres,16-29,LT16,"LT16, Block NS1, NS1-04-05"
Lecture Theatres,16-29,LT17,"LT17, Block NS1, NS1-04-03"
Lecture Theatres,16-29,LT18,"LT18, Block NS1, NS1-04-01"
Lecture Theatres,16-29,LT19,"LT19, Block N2, N2-B2A-01"
Lecture Theatres,16-29,LT19A,"LT19A, LT19A-01-01"
Lecture Theatres,16-29,LT20,"LT20, Block N2, N2-B2A-01"
Lecture Theatres,16-29,LT22,"LT22, Block SS2, SS2-B2-07"
Lecture Theatres,16-29,LT23,"LT23, Block SS2, SS2-B2-05"
Lecture Theatres,16-29,LT24,"LT24, Block SS1, SS1-B2-03"
Lecture Theatres,16-29,LT25,"LT25, Block SS1, SS1-B2-01"
Lecture Theatres,16-29,LT26,"LT26, Block SS4, SS4-B2-33"
Lecture Theatres,16-29,LT27,"LT27, Block SS4, SS4-B2-31"
Lecture Theatres,16-29,LT28,"LT28, Block SS2, SS2-B1-17"
Lecture Theatres,16-29,LT29,"LT29, Block SS2, SS2-B1-16"
Lecture Theatres,ADM,AV Lecture Room B1.1,"AV Lecture Room B1.1 (ADM), School of Art, Design and Media (ADM), ART-B1-02, 81 Nanyang Drive, Singapore 637458"
Lecture Theatres,ADM,AV Lecture Room B1.2,"AV Lecture Room B1.2 (ADM), School of Art, Design and Media (ADM), ART-B1-03, 81 Nanyang Drive, Singapore 637458"
Lecture Theatres,Others,CBE Lecture Theatre,"CBE Lecture Theatre, Block N1.2, N1.2-B2-01, 62 Nanyang Drive, Singapore 637459"
Lecture Theatres,Others,HSS Auditorium,"HSS Auditorium, School of Humanities / School of Social Sciences, HSS-B1-14, 48 Nanyang Avenue, Singapore 639818"
Lecture Theatres,Others,Lecture Theatre at The Arc,"Lecture Theatre at The Arc (LHN-LT), The Arc - Learning Hub North (LHN), LHN-B1-15, 63 Nanyang Drive, Singapore 636922"
Lecture Theatres,Others,Lecture Theatre at the Hive,"Lecture Theatre at the Hive (LHS-LT), The Hive, LHS-01-04, 52 Nanyang Avenue, Singapore 639816"
Lecture Theatres,Others,Lee Foundation Lecture Theatre,"Lee Foundation Lecture Theatre, Wee Kim Wee School of Communication And Information (WKWSCI), WKWSCI-01-LT1, 31 Nanyang Link, Singapore 637718"
Lecture Theatres,Others,Lee Kong Chian Lecture Theatre,"Lee Kong Chian Lecture Theatre, Block SS3, SS3-B2-10"
Lecture Theatres,Others,Tan Chin Tuan Lecture Theatre,"Tan Chin Tuan Lecture Theatre, Block NS4, NS4-02-36"
Lecture Theatres,SPMS,LT1,"LT1 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-04-07, 21 Nanyang Link, Singapore 637371"
Lecture Theatres,SPMS,LT2,"LT2 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-03-03, 21 Nanyang Link, Singapore 637371"
Lecture Theatres,SPMS,LT3,"LT3 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-03-02, 21 Nanyang Link, Singapore 637371"
Lecture Theatres,SPMS,LT4,"LT4 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-03-09, 21 Nanyang Link, Singapore 637371"
Lecture Theatres,SPMS,LT5,"LT5 - SPMS, School of Physical and Mathematical Sciences (SPMS), SPMS-03-08, 21 Nanyang Link, Singapore 637371"
Lecture Theatres,NIE,LT1,"LT1 - NIE, LT1"
Lecture Theatres,NIE,LT2,"LT2 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-LT2"
Lecture Theatres,NIE,LT3,"LT3 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-LT3"
Lecture Theatres,NIE,LT4,"LT4 - NIE, National Institute of Education (NIE) - Building 7 (Science), NIE7-01-LT4"
Lecture Theatres,NIE,LT5,"LT5 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-LT5"
Lecture Theatres,NIE,LT6,"LT6 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-LT6"
Lecture Theatres,NIE,LT7,"LT7 - NIE, National Institute of Education (NIE) - Building 2 (Education), NIE2-01-LT7"
Lecture Theatres,NIE,LT8,"LT8 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-LT8"
Lecture Theatres,NIE,LT9,"LT9 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-LT9"
Lecture Theatres,NIE,LT10,"LT10 - NIE, National Institute of Education (NIE) - Building 3 (Arts), NIE3-01-LT10"
Lecture Theatres,NIE,LT11,"LT11 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-LT11"
Lecture Theatres,NIE,LT12,"LT12 - NIE, National Institute of Education (NIE) - Building 5 (Physical Education), NIE5-01-LT12"
Libraries,,"Art, Design & Media Library","Art, Design & Media Library (ADM), School of Art, Design and Media (ADM), ART-01-03, 81 Nanyang Drive, Singapore 637458"
Libraries,,Business Library,"Business Library, Block N2, N2-B2B-07, 50 Nanyang Avenue, Singapore 639798"
Libraries,,Chinese Library,"Chinese Library, Block S3.2, S3.2-B5-01, 50 Nanyang Avenue, Singapore 639798"
Libraries,,Communication & Information Library,"Communication & Information Library (CMIL), Wee Kim Wee School of Communication And Information (WKWSCI), CS-01-18, 31 Nanyang Link, Singapore 637718"
Libraries,,Humanities & Social Sciences Library,"Humanities & Social Sciences Library, Block S4, S4-B3C-05, 50 Nanyang Avenue, Singapore 639798"
Libraries,,Lee Wee Nam Library (Engineering & Science Collections),"Lee Wee Nam Library, Block NS3, NS3-03-01, 50 Nanyang Avenue, Singapore 639798"
Libraries,,NIE Library (LIBRIS),"National Institute of Education (NIE) - Library, National Institute of Education (NIE) - Building 4 (Library and Canteen)"
Libraries,,Wang Gungwu Library (Overseas Chinese Collections),"Wang Gungwu Library, Chinese Heritage Centre (CHC), CHC-02, 46 Nanyang Avenue, Singapore 639817"
Examination Halls,,A,"Examination Hall A, Nanyang Auditorium, Level B1"
Examination Halls,,B,"Examination Hall B, Nanyang Auditorium, Level 03"
Examination Halls,,C,"Examination Hall C, Block N2, N2-B2C-12"
Examination Halls,,D,"Examination Hall D, Sports and Recreation Centre (SRC), 20 Nanyang Green, Singapore 637715"
Examination Halls,,E,"Examination Hall E, Sports and Recreation Centre (SRC), 20 Nanyang Green, Singapore 637715"
Examination Halls,,F,"Examination Hall F, Sports and Recreation Centre (SRC), 20 Nanyang Green, Singapore 637715"
Examination Halls,,H,"Examination Hall H / Function Room, Nanyang House, Level 02, 12 Nanyang Hill, Singapore 637663"
Examination Halls,,J1,"Examination Hall J1 / Seminar Room 1, Nanyang House, Level 02, 12 Nanyang Hill, Singapore 637663"
Examination Halls,,J2,"Examination Hall J2 / Seminar Room 2, Nanyang House, Level 02, 12 Nanyang Hill, Singapore 637663"
Examination Halls,,K,"Examination Hall K, Block SS3, SS3-B1"
Examination Halls,,L,"Examination Hall L, School of Biological Sciences (SBS), 60 Nanyang Drive, Singapore 637551"
Examination Halls,,N,"Examination Hall N - North Hill Function Hall, Blk 20B, 60 Nanyang Crescent, Singapore 636957"
Examination Halls,,W,"Examination Hall W - The Wave, Sports & Recreation Centre, The Wave (SRC), 110 Nanyang Crescent, Singapore 636956"
Examination Halls,,6,"Examination Hall 6, Hall of Residence 6 (Hall 6), 21 Lien Ying Chow Drive, Singapore 637296"
Examination Halls,,7,"Examination Hall 7, Hall of Residence 7 (Hall 7), 30 Nanyang Link, Singapore 637717"
Examination Halls,,8,"Examination Hall 8, Hall of Residence 8 (Hall 8), 26 Nanyang Avenue, Singapore 639812"
Examination Halls,,10,"Examination Hall 10, Hall of Residence 10 (Hall 10), 22 Nanyang Avenue, Singapore 639810"
Examination Halls,,12,"Examination Hall 12, Hall of Residence 12 (Hall 12), 30 Nanyang Crescent, Singapore 637659"
Examination Halls,,15,"Examination Hall 15, Hall of Residence 15 (Hall 15), 36 Nanyang Crescent, Singapore 637635"
Meeting Rooms,,Discussion Room 2 (HSS),"Discussion Room 2 (HSS), School of Humanities / School of Social Sciences, HSS-03-29, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Discussion Room 4 (HSS),"Discussion Room 4 (HSS), School of Humanities / School of Social Sciences, HSS-04-47, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Discussion Room 5 (HSS),"Discussion Room 5 (HSS), School of Humanities / School of Social Sciences, HSS-05-43, 48 Nanyang Avenue, Singapore 639818"
Meeting Rooms,,Meeting Room 1 (HSS),"Meeting Room 1 (HSS), School of Humanities / School of Social Sciences, HSS-03-65, 48 Nanyang Avenue, Singapore 639818"
