,CODE,TITLE,AU,PREREQUISITE
0,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS ,2.0 AU,
1,AB0901 ,PRINCIPLES OF ECONOMICS: A SINGAPORE PERSPECTIVE* ,3.0 AU,
2,AB1000 ,CAREER FOUNDATIONS I ,1.0 AU,
3,AB1201 ,FINANCIAL MANAGEMENT* ,3.0 AU,
4,AB1202 ,STATISTICS & ANALYSIS* ,3.0 AU,
5,AB1301 ,BUSINESS LAW* ,3.0 AU,
6,AB1401 ,TECHNOLOGICAL INNOVATIONS & DEVELOPMENTS* ,3.0 AU,AB1402(Corequisite)
7,AB1402 ,FOUNDATIONAL EXCEL* ,1.0 AU,
8,AB1501 ,MARKETING* ,3.0 AU,
9,AB1601 ,ORGANISATIONAL BEHAVIOUR & DESIGN* ,3.0 AU,
10,AC1101 ,ACCOUNTING I ,4.0 AU,
11,AC1102 ,ACCOUNTING II ,4.0 AU,AC1101 OR AB1101 OR AA101
12,AB0602 ,COMMUNICATION MANAGEMENT STRATEGIES ,4.0 AU,AB114 OR AB0601
13,AB2000 ,CAREER FOUNDATIONS II ,1.0 AU,AB1000
14,AC2101 ,ACCOUNTING RECOGNITION & MEASUREMENT ,4.0 AU,AA102 OR AB1102 OR AC1102
15,AC2104 ,ASSURANCE & AUDITING ,4.0 AU,AB1102 OR AC1102
16,AC2105 ,ACCOUNTING FOR DECISION MAKING & CONTROL ,4.0 AU,AA101 OR AB1101 OR AC1101
17,AC2301 ,PRINCIPLES OF TAXATION* ,4.0 AU,AA101 OR AB1101 OR AC1101 OR AD1101
18,AC2302 ,COMPANY LAW & CORPORATE GOVERNANCE* ,4.0 AU,AB107 OR AB1301
19,AC2401 ,ACCOUNTING INFORMATION SYSTEMS* ,4.0 AU,AB113 OR AB1401
20,GC0001 ,SUSTAINABILITY: SEEING THROUGH THE HAZE ,1.0 AU,
21,HY0001 ,ETHICS & MORAL REASONING ,1.0 AU,
22,AB3601 ,STRATEGIC MANAGEMENT* ,4.0 AU,AB105 & AB112 OR AB1501 & AB1601 OR AB105 & AB1601 OR AB112 & AB1501
23,AC3102 ,RISK REPORTING & ANALYSIS ,4.0 AU,AA201 OR AC2101
24,AC3103 ,ACCOUNTING ANALYSIS & EQUITY VALUATION ,4.0 AU,AA201 OR AC2101
25,AC3104 ,RISK MANAGEMENT & ADVANCED AUDITING ,4.0 AU,AC2101(Corequisite) & AC2104 & AC2401(Corequisite)
26,ET0001 ,ENTERPRISE & INNOVATION ,1.0 AU,
54,DA9012 ,MEDIA ART NEXUS* ,3.0 AU,
55,DD0000 ,WRITING NARRATIVES FOR CREATIVE MEDIA ,3.0 AU,
56,DD0002 ,THE CONTEMPORARY CREATIVE & CULTURAL INDUSTRY OF SINGAPORE ,3.0 AU,
57,DD1003 ,INTRODUCTION TO HISTORIES OF ART I* ,3.0 AU,
