,DAY,GROUP,INDEX,MODULE,NAME,PERIODS,REMARK,TIME,TIMEEND,TIMEFRAME,TIMESTART,TYPE,VENUE
0,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 18:30:00,1900-01-01 18:30:00,LEC/STUDIO,LT26
1,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 19:00:00,1900-01-01 18:30:00,LEC/STUDIO,LT26
2,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 19:30:00,1900-01-01 18:30:00,LEC/STUDIO,LT26
3,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 20:00:00,1900-01-01 18:30:00,LEC/STUDIO,LT26
4,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 20:30:00,1900-01-01 18:30:00,LEC/STUDIO,LT26
5,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 21:00:00,1900-01-01 18:30:00,LEC/STUDIO,LT26
6,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 18:30:00,1900-01-01 18:30:00,LEC/STUDIO,LT27
7,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 19:00:00,1900-01-01 18:30:00,LEC/STUDIO,LT27
8,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 19:30:00,1900-01-01 18:30:00,LEC/STUDIO,LT27
9,TUE,1,LEC,AB0601,COMMUNICATION MANAGEMENT FUNDAMENTALS,6,Teaching Wk11,1830-2130,1900-01-01 21:30:00,1900-01-01 20:00:00,1900-01-01 18:30:00,LEC/STUDIO,LT27
