,INDEX,TYPE,GROUP,DAY,TIME,VENUE,REMARK,MODULE,NAME
1,LEC,LEC/STUDIO,1,TUE,1830-2130,LT26,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
2,LEC,LEC/STUDIO,1,TUE,1830-2130,LT27,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
3,LEC,LEC/STUDIO,1,TUE,1830-2130,LKC-LT,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
4,00822,SEM,1,WED,0830-1030,S4-CL1,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
8,00823,SEM,2,WED,1030-1230,S4-CL1,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
12,00824,SEM,3,THU,0830-1030,S4-CL1,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
16,00825,SEM,4,THU,0830-1030,S4-CL2,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
20,00826,SEM,5,THU,0830-1030,S4-CL3,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
24,00827,SEM,6,THU,0830-1030,S4-CL4,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
28,00828,SEM,7,THU,0830-1030,S4-CL5,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
32,00829,SEM,8,THU,0830-1030,S4-CL6,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
36,00830,SEM,9,THU,0830-1030,S4-CL7,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
40,00831,SEM,10,THU,0830-1030,S4-CL8,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
44,00832,SEM,11,THU,1030-1230,S4-CL1,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
48,00833,SEM,12,THU,1030-1230,S4-CL2,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
52,00834,SEM,13,THU,1030-1230,S4-CL3,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
56,00835,SEM,14,THU,1030-1230,S4-CL4,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
60,00836,SEM,15,THU,1030-1230,S4-CL5,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
64,00837,SEM,16,THU,1030-1230,S4-CL6,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
68,00838,SEM,17,THU,1030-1230,S4-CL7,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
72,00839,SEM,18,THU,1030-1230,S4-CL8,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
76,00840,SEM,19,FRI,0830-1030,S4-CL1,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
80,00841,SEM,20,FRI,0830-1030,S4-CL2,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
84,00842,SEM,21,FRI,0830-1030,S4-CL3,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
88,00843,SEM,22,FRI,0830-1030,S4-CL4,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
92,00844,SEM,23,FRI,0830-1030,S4-CL5,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
96,00845,SEM,24,FRI,0830-1030,S4-CL6,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
100,00846,SEM,25,FRI,0830-1030,S4-CL7,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
104,00847,SEM,26,FRI,0830-1030,S4-CL8,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
108,00848,SEM,27,FRI,1030-1230,S4-CL1,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
112,00849,SEM,28,FRI,1030-1230,S4-CL2,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
116,00850,SEM,29,FRI,1030-1230,S4-CL3,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
120,00851,SEM,30,FRI,1030-1230,S4-CL4,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
124,00852,SEM,31,FRI,1030-1230,S4-CL5,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
128,00853,SEM,32,FRI,1030-1230,S4-CL6,Teaching Wk11,AB0601 ,COMMUNICATION MANAGEMENT FUNDAMENTALS 
